MARITAL;AGE;GENDER1;HOMPOP;HAPPY;HEALTH;SATJOB;REALINC
1;46;1;4;2;2;2;155139.9731
3;57;1;3;3;3;0;0
5;20;2;3;2;1;0;40425
3;53;2;2;2;2;2;49000
1;53;1;2;2;2;3;155139.9731
1;42;1;2;1;0;1;18375
1;63;1;2;1;1;1;155139.9731
1;55;2;2;2;3;1;155139.9731
1;54;1;4;1;1;1;155139.9731
1;77;1;2;1;2;1;155139.9731
4;48;2;2;8;2;1;18375
1;52;2;5;2;0;2;22050
1;31;1;5;2;1;1;26950
1;57;1;2;2;0;2;15925
5;21;2;3;3;0;2;4410
5;50;2;4;2;3;2;18375
1;38;1;5;1;1;3;155139.9731
1;33;2;2;1;2;1;33075
1;26;1;2;1;2;9;33075
5;33;2;1;3;3;8;5512.5
5;44;1;1;2;2;2;26950
5;25;1;1;2;1;1;33075
5;27;1;2;2;1;1;22050
5;27;1;2;1;0;2;7962.5
5;28;1;2;1;1;2;68600
5;22;1;1;1;0;2;18375
1;48;2;4;2;3;1;68600
3;89;1;1;3;3;0;11637.5
1;49;2;4;2;2;2;49000
2;87;2;1;2;4;0;4410
2;64;1;3;2;2;0;49000
1;41;1;5;2;1;1;49000
3;57;2;8;3;3;0;15925
1;46;2;3;2;0;2;0
1;58;2;2;2;1;2;155139.9731
1;78;1;2;1;1;0;26950
1;45;2;5;2;1;1;155139.9731
5;38;2;3;2;0;2;18375
5;69;2;1;3;1;0;15925
1;61;1;2;1;1;2;68600
1;48;1;2;2;1;2;155139.9731
1;37;2;2;2;0;2;40425
3;47;1;1;2;3;3;5512.5
5;26;1;1;2;2;1;33075
3;41;2;1;2;1;1;26950
3;55;2;1;3;1;3;1715
2;81;2;1;1;0;0;4410
5;32;1;2;2;2;1;49000
1;27;1;3;1;2;1;22050
4;32;2;2;2;0;3;9187.5
1;39;1;5;2;2;2;49000
1;55;1;2;2;3;2;40425
1;35;2;2;2;1;1;155139.9731
5;64;1;1;1;1;1;15925
2;85;2;1;2;3;1;11637.5
5;52;1;1;2;2;1;13475
5;46;2;2;2;3;0;0
5;34;2;4;3;3;2;980
1;55;2;4;2;0;0;7962.5
2;72;1;1;2;1;0;6737.5
3;34;2;2;2;0;1;18375
1;35;2;2;2;1;2;40425
1;61;2;2;2;0;1;58800
3;56;1;1;2;4;0;11637.5
3;60;2;1;2;3;0;5512.5
1;65;1;2;2;2;0;49000
1;85;2;2;1;1;0;26950
5;42;2;3;2;0;1;40425
5;27;2;3;1;2;2;155139.9731
2;85;2;1;2;3;0;0
1;63;1;2;2;2;1;49000
1;61;1;4;2;1;1;49000
1;27;2;2;2;0;2;68600
5;48;1;1;3;2;4;68600
5;25;1;2;1;0;2;58800
1;34;1;6;1;0;9;155139.9731
1;37;1;4;3;2;1;155139.9731
2;64;2;1;3;4;0;5512.5
2;82;1;1;2;0;1;58800
1;43;1;4;2;2;9;0
3;54;2;1;3;3;0;2205
5;25;1;2;2;3;2;7962.5
3;78;2;1;2;2;0;11637.5
5;19;2;2;2;3;1;18375
3;64;1;2;2;0;0;7962.5
5;23;1;4;2;2;2;40425
5;31;1;2;2;2;1;155139.9731
1;41;1;2;1;2;1;155139.9731
5;29;2;1;2;2;2;13475
3;51;2;3;1;0;3;18375
3;55;1;1;2;0;1;22050
1;36;2;4;3;2;2;40425
2;87;2;1;2;0;0;15925
5;28;1;2;2;0;1;40425
1;35;1;2;2;1;2;155139.9731
5;37;1;1;1;1;2;155139.9731
2;84;1;1;2;0;0;26950
5;21;1;2;1;1;0;6737.5
1;49;1;4;2;2;1;68600
1;42;1;5;1;2;1;26950
1;69;1;2;2;0;0;0
1;32;2;2;1;1;2;68600
1;69;1;2;2;2;0;58800
1;48;2;2;2;1;2;0
5;20;1;4;2;4;2;26950
1;51;2;2;1;1;1;0
1;60;1;2;2;2;2;33075
1;59;2;2;2;0;3;33075
2;89;2;1;3;3;1;22050
5;18;1;2;2;3;3;15925
1;62;1;2;1;1;0;58800
1;54;1;4;2;0;2;33075
5;19;1;5;2;2;2;49000
1;38;2;5;2;3;1;22050
1;31;1;2;1;2;2;40425
5;51;2;1;2;0;2;18375
5;23;1;6;2;1;2;9187.5
5;48;2;2;2;4;1;49000
3;45;2;1;2;0;1;26950
5;20;1;3;2;3;2;40425
1;70;2;2;2;0;0;33075
1;58;1;2;1;3;2;68600
3;63;1;1;8;1;1;155139.9731
1;44;1;2;1;1;1;155139.9731
2;87;2;1;1;0;0;0
1;50;2;2;1;0;2;0
3;52;2;1;1;0;3;11637.5
1;32;1;2;1;2;1;33075
1;43;1;4;2;0;1;155139.9731
1;51;1;2;1;1;2;155139.9731
3;58;1;1;2;2;1;40425
1;75;2;2;2;2;0;0
1;71;1;2;1;1;1;40425
2;72;2;1;3;3;0;40425
3;64;1;2;1;1;1;10412.5
5;35;2;2;3;0;2;3185
1;34;1;5;3;0;2;40425
1;71;1;2;1;2;1;49000
3;41;1;1;2;2;1;7962.5
1;34;1;3;2;0;2;58800
3;50;1;2;2;2;1;6737.5
5;23;1;6;2;3;1;22050
3;53;1;1;1;3;0;11637.5
2;64;1;1;2;0;0;15925
1;41;1;4;2;0;2;0
5;46;1;1;2;3;3;10412.5
